City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Busselton,AU,62.01,-33.65,115.33,Observatory Guest House
8,Portland,US,84.99,45.52,-122.68,Portland Marriott City Center
9,Nishihara,JP,86.0,26.18,127.76,Minshuku Agaihama
11,Alipur Chatha,PK,80.6,32.27,73.82,Tahir Buttiparlar
13,Erzin,TR,81.0,36.96,36.2,Artemis Otel
14,Kyshtym,RU,64.51,55.71,60.55,Rodnik
15,Goderich,CA,71.01,43.75,-81.72,Harmony Inn
16,Port Lincoln,AU,61.09,-34.73,135.87,Port Lincoln Hotel
19,Saint-Philippe,RE,62.6,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
20,Sao Filipe,CV,76.8,14.9,-24.5,Tortuga B&B
22,Arraial Do Cabo,BR,71.01,-22.97,-42.03,Pousada Porto Praia
26,Kavieng,PG,85.35,-2.57,150.8,Nusa Island Retreat
31,Firozpur Jhirka,IN,82.87,27.8,76.95,police station NAKHA
32,Caranavi,BO,64.38,-15.82,-67.55,Hotel Landivar
34,Shingu,JP,84.2,33.73,135.98,Shingu UI Hotel
35,Saint-Joseph,RE,62.6,-21.37,55.62,"""Plantation Bed and Breakfast"
36,Altay,CN,70.03,47.87,88.12,Jinqiao Hotel
38,Acarau,BR,77.97,-2.89,-40.12,castelo pizzaria
40,East London,ZA,63.66,-33.02,27.91,Tu Casa
44,Atuona,PF,78.8,-9.8,-139.03,Villa Enata
46,Luau,AO,69.58,-10.71,22.22,Kimbo Hotel
47,Vaini,TO,78.8,-21.2,-175.2,Keleti Beach Resort
48,Bikin,RU,65.12,46.82,134.26,Azhur
50,Namibe,AO,60.22,-15.2,12.15,Hotel Chik Chik Namibe
53,Airai,TL,76.08,-8.93,125.41,Juvinal Martin
54,Rikitea,PF,68.05,-23.12,-134.97,Pension Maro'i
55,Kahului,US,89.6,20.89,-156.47,Maui Seaside Hotel
56,Caceres,ES,66.99,39.52,-6.37,Ahc Hoteles
57,Wuwei,CN,69.6,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
58,Wanning,CN,87.57,18.8,110.4,Paradise Hotel
59,Pankrushikha,RU,62.73,53.83,80.34,"Гостиница ""Уют"""
60,Riyadh,SA,87.8,24.69,46.72,InterContinental Riyadh
61,Camacha,PT,71.6,33.08,-16.33,Hotel Porto Santo & Spa
64,Kapaa,US,86.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
65,Carnarvon,AU,68.0,-24.87,113.63,Hospitality Carnarvon
67,Lagoa,PT,72.27,39.05,-27.98,Casa Das Faias
68,Urumqi,CN,78.01,43.8,87.6,Hua Ling Grand Hotel Urumqi
69,Mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
71,Cidreira,BR,60.84,-30.18,-50.21,Hotel Castelo
72,Tukrah,LY,74.16,32.53,20.58,استراحة لاقروتا
74,Boma,GH,71.65,7.08,-2.17,Obaatanpa Hotel
79,Fernie,CA,71.6,49.5,-115.07,Fernie Stanford Resort
81,Redmond,US,78.01,47.67,-122.12,Seattle Marriott Redmond
85,Bethel,US,68.0,41.37,-73.41,Courtyard by Marriott Danbury
86,Port Alfred,ZA,62.69,-33.59,26.89,The Halyards Hotel
89,Caravelas,BR,70.77,-17.71,-39.25,Pousada dos Navegantes
91,Carutapera,BR,76.62,-1.2,-46.02,Lidera
92,San Policarpo,PH,85.23,12.18,125.51,Zal-Ann Beach Resort
93,Georgetown,MY,86.0,5.41,100.34,Cititel Penang
94,Mackay,AU,77.0,-21.15,149.2,International Lodge Motel
95,Puerto Ayora,EC,65.35,-0.74,-90.35,Finch Bay Galapagos Hotel
98,Khasan,RU,69.42,42.43,130.64,Krako Motorkár
100,Hami,CN,82.78,42.8,93.45,Laoyutang Resort
104,Bambous Virieux,MU,71.6,-20.34,57.76,Casa Tia Villa
105,Touros,BR,73.4,-5.2,-35.46,INN NEW HORIZON
106,Turbat,PK,83.97,26.0,63.04,Mubashar Quarters
108,Sur,OM,81.1,22.57,59.53,Sur Plaza Hotel
110,Bingol,TR,67.44,38.88,40.49,Bingol Police House
114,Jawa,JO,77.0,31.85,35.94,دار الحاج عبدالله ابو صعيليك واولاده
115,Rancho Palos Verdes,US,68.0,33.74,-118.39,Terranea Resort
118,Port-Gentil,GA,74.68,-0.72,8.78,Fengshui Residence
119,Caborca,MX,80.01,30.58,-111.1,Hotel Los Lagos
120,Mount Isa,AU,82.4,-20.73,139.5,ibis Styles Mt Isa Verona
121,Kongolo,CD,75.11,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
122,Vila Franca Do Campo,PT,71.6,37.72,-25.43,Pestana Bahia Praia
123,Buala,SB,83.91,-8.14,159.59,Maringe Lagoon Lodge
125,Harrisonburg,US,72.0,38.45,-78.87,Hampton Inn Harrisonburg - University
126,Mastic Beach,US,70.0,40.77,-72.85,Brushwood House by Smith Point Beach
127,New Iberia,US,84.2,30.0,-91.82,La Quinta Inn & Suites by Wyndham New Iberia
128,Kloulklubed,PW,86.0,7.04,134.26,Storyboard Beach Resort
129,Landazuri,CO,66.13,6.22,-73.81,Hotel Pueblo Nuevo
131,Meulaboh,ID,78.21,4.14,96.13,Kost Pria
132,Talara,PE,63.21,-4.58,-81.27,Hostal Oro Negro
133,Auki,SB,80.76,-8.77,160.7,Auki Motel
134,Butterworth,MY,86.0,5.4,100.36,Cititel Penang
135,Ribeira Grande,PT,72.72,38.52,-28.7,Quinta da Meia Eira
136,Bredasdorp,ZA,60.8,-34.53,20.04,Bredasdorp Country Manor
137,Shawinigan,CA,66.2,46.57,-72.75,Hotel Gouverneur Shawinigan
