City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,-54.8,-68.3,39.2,87,100,5.82
1,Tuktoyaktuk,CA,69.45,-133.04,55.4,66,75,4.7
2,Busselton,AU,-33.65,115.33,62.01,97,20,22.48
3,Richards Bay,ZA,-28.78,32.04,57.4,85,14,5.1
4,Antofagasta,CL,-23.65,-70.4,55.4,82,70,11.41
5,Nome,US,64.5,-165.41,48.2,70,75,19.46
6,Privas,FR,44.58,4.5,55.99,60,0,3.0
7,Alihe,CN,50.57,123.72,59.04,77,100,2.77
8,Portland,US,45.52,-122.68,84.99,45,21,1.99
9,Nishihara,JP,26.18,127.76,86.0,94,90,20.8
10,Albany,US,42.6,-73.97,71.01,96,69,6.73
11,Alipur Chatha,PK,32.27,73.82,80.6,88,40,4.7
12,Pevek,RU,69.7,170.31,37.63,83,88,7.36
13,Erzin,TR,36.96,36.2,81.0,85,77,5.1
14,Kyshtym,RU,55.71,60.55,64.51,74,88,10.27
15,Goderich,CA,43.75,-81.72,71.01,93,100,11.52
16,Port Lincoln,AU,-34.73,135.87,61.09,61,49,22.5
17,Hobart,AU,-42.88,147.33,53.6,62,75,10.29
18,Scarborough,GB,54.28,-0.4,52.0,81,47,6.49
19,Saint-Philippe,RE,-21.36,55.77,62.6,63,2,2.24
20,Sao Filipe,CV,14.9,-24.5,76.8,79,35,9.26
21,Asasa,ET,7.1,39.2,53.82,78,89,1.72
22,Arraial Do Cabo,BR,-22.97,-42.03,71.01,89,1,6.24
23,Victoria,HK,22.29,114.16,91.99,70,0,4.0
24,Falmouth,GB,50.15,-5.07,55.99,93,100,8.05
25,Severo-Kurilsk,RU,50.68,156.12,54.39,64,79,1.45
26,Kavieng,PG,-2.57,150.8,85.35,66,9,8.1
27,Nikolskoye,RU,59.7,30.79,44.6,81,90,4.47
28,Qaanaaq,GL,77.48,-69.36,26.01,82,0,4.29
29,Bluff,NZ,-46.6,168.33,45.0,72,99,11.01
30,Cherskiy,RU,68.75,161.3,47.73,56,76,4.21
31,Firozpur Jhirka,IN,27.8,76.95,82.87,71,100,8.93
32,Caranavi,BO,-15.82,-67.55,64.38,87,98,2.66
